Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-April-2017,39.00,40.95,38.90,40.75,40.224543603218444630,3459435,8228,139154194.00,1040402,30.07,2.05,1.75
3-April-2017,38.35,39.10,38.20,38.90,38.716105842173843197,1344568,2905,52056437.00,370872,27.58,0.90,0.55
31-March-2017,38.25,38.60,38.00,38.30,38.252157296744620639,1305685,2901,49945268.00,369819,28.32,0.60,0.05
30-March-2017,38.20,38.50,38.00,38.30,38.307412796586527386,863871,1818,33092663.00,351948,40.74,0.50,0.10
29-March-2017,38.30,38.80,37.90,38.05,38.367047808786268177,2428403,4058,93170654.00,1086387,44.74,0.90,-0.25
28-March-2017,38.20,38.60,38.00,38.40,38.401704591249182061,1464046,6480,56221862.00,475681,32.49,0.60,0.20
27-March-2017,38.45,38.45,37.45,38.05,37.979638266577716365,2020604,4216,76741809.00,706706,34.97,1.00,-0.40
24-March-2017,38.00,39.00,37.95,38.65,38.424874823723996468,2215276,5604,85121703.00,933486,42.14,1.05,0.65
23-March-2017,37.40,38.40,36.90,37.80,37.818509714390438511,2051647,4868,77590232.00,651178,31.74,1.50,0.40
22-March-2017,37.90,37.90,37.30,37.40,37.596411919102064940,1661501,2184,62466476.00,693674,41.75,0.60,-0.50
21-March-2017,38.30,38.40,37.50,38.15,37.945979170050919776,1779073,3119,67508667.00,670175,37.67,0.90,-0.15
20-March-2017,38.65,39.70,37.20,38.15,38.321713648211650874,3890180,6644,149078364.00,981212,25.22,2.50,-0.50
17-March-2017,38.40,38.50,37.30,38.25,37.936928253080137229,2506463,4578,95087507.00,690729,27.56,1.20,-0.15
16-March-2017,37.30,38.40,36.95,38.20,37.751645666987511850,3868948,7470,146059154.00,1247525,32.24,1.45,0.90
15-March-2017,36.45,38.15,36.25,36.80,37.069549071169299077,3901303,6633,144619543.00,777166,19.92,1.90,0.35
14-March-2017,37.20,37.20,36.10,36.25,36.513874095555140986,2342459,4717,85532253.00,731835,31.24,1.10,-0.95
10-March-2017,35.55,36.30,35.35,36.00,35.914875368271182370,3264578,5365,117246912.00,1185196,36.30,0.95,0.45
9-March-2017,34.55,35.95,33.80,35.45,35.086333708609705230,6718604,12005,235731182.00,1701572,25.33,2.15,0.90
8-March-2017,36.30,36.40,34.20,34.55,35.128816782601269934,3126619,6215,109834426.00,1030272,32.95,2.20,-1.75
7-March-2017,37.50,37.60,35.70,36.15,36.538725291594820805,2574377,4282,94064454.00,840248,32.64,1.90,-1.35
6-March-2017,37.50,38.00,37.20,37.50,37.586867858575902751,1485348,4006,55829579.00,384473,25.88,0.80,0.00
3-March-2017,37.30,37.85,36.85,37.45,37.342827975470516633,2077663,6518,77585812.00,377860,18.19,1.00,0.15
2-March-2017,38.80,39.25,37.15,37.30,38.103279847250304947,2842297,7563,108300838.00,604051,21.25,2.10,-1.50
1-March-2017,39.05,40.05,38.40,38.75,39.131996301003035733,4397949,11315,172100524.00,838364,19.06,1.65,-0.30
28-February-2017,36.90,39.85,36.80,38.90,38.521266915367446012,6869567,15910,264624424.00,1676702,24.41,3.05,2.00
27-February-2017,37.30,37.50,36.50,36.70,36.982510858655124290,2654104,6313,98155430.00,668801,25.20,1.00,-0.60
23-February-2017,36.40,38.05,36.15,36.90,37.270944431055927578,7004344,15526,261058516.00,1617714,23.10,1.90,0.50
22-February-2017,35.60,36.40,35.25,35.75,35.777022260971666659,3423705,9201,122489970.00,770555,22.51,1.15,0.15
21-February-2017,34.80,36.50,34.50,35.30,35.460502273656719128,5533597,11103,196224129.00,1034915,18.70,2.00,0.50
20-February-2017,33.60,35.45,33.60,34.60,34.730545177275863645,3697091,7275,128401986.00,917163,24.81,1.85,1.00
17-February-2017,33.40,33.70,32.85,33.15,33.156769962411318978,2062589,5018,68388789.00,676494,32.80,0.85,-0.25
16-February-2017,32.50,33.40,32.35,33.25,32.885344533683382926,2155885,4602,70897021.00,468434,21.73,1.05,0.75
15-February-2017,34.25,34.65,32.35,32.70,33.259693126353185676,2936127,6173,97654683.00,935836,31.87,2.30,-1.55
14-February-2017,33.70,34.70,33.30,34.45,34.164378500610830166,2400831,5625,82022899.00,434825,18.11,1.40,0.75
13-February-2017,34.50,34.50,33.05,33.60,33.651198260718103576,2216087,5818,74573983.00,624390,28.18,1.45,-0.90
10-February-2017,35.70,35.90,34.35,34.60,34.968549953507759910,3109121,5776,108721453.00,859540,27.65,1.55,-1.10
9-February-2017,35.85,36.20,35.15,35.40,35.581662129641034449,2654823,5121,94463015.00,586751,22.10,1.05,-0.45
8-February-2017,35.65,36.80,35.45,35.70,35.911450092319313638,2923007,6804,104969420.00,509277,17.42,1.35,0.05
7-February-2017,36.00,36.65,35.40,35.55,35.819986609905125296,2482432,6278,88920681.00,640538,25.80,1.25,-0.45
6-February-2017,36.50,37.40,35.65,35.90,36.345974577030634457,3905602,8466,141952911.00,894798,22.91,1.75,-0.60
3-February-2017,34.35,40.00,34.35,36.65,37.657332543696748014,14205691,29783,534948430.00,2638344,18.57,5.65,2.30
2-February-2017,34.40,34.90,33.65,33.75,34.221489746208847332,1909050,4917,65330535.00,405059,21.22,1.25,-0.65
1-February-2017,34.35,34.45,33.30,34.25,33.934825678515927378,2902769,4935,98504960.00,786597,27.10,1.15,-0.10
31-January-2017,35.10,35.90,33.85,34.20,34.734481002691736496,5781398,12812,200813859.00,1372638,23.74,2.05,-0.90
30-January-2017,31.00,35.30,30.95,34.45,33.794494837168375350,8972305,19683,303214515.00,1717156,19.14,4.35,3.45
27-January-2017,31.00,31.45,30.75,30.90,31.056940863770393868,1565115,5473,48607684.00,516743,33.02,0.70,-0.10
25-January-2017,31.30,31.45,30.65,30.85,30.969618576605971354,1322782,3790,40966054.00,441693,33.39,0.80,-0.45
24-January-2017,31.00,31.60,30.85,31.20,31.275812968440037579,1193189,4284,37317956.00,446736,37.44,0.75,0.20
23-January-2017,31.10,31.35,30.75,30.95,31.017482856488092090,1134540,3712,35190575.00,440098,38.79,0.60,-0.15
20-January-2017,32.30,32.45,30.85,31.20,31.653810151397660053,1880214,4671,59515937.00,851385,45.28,1.60,-1.10
19-January-2017,32.00,32.70,31.95,32.30,32.324055574614649245,1174709,2879,37971359.00,423658,36.06,0.75,0.30
18-January-2017,31.95,32.65,31.85,32.00,32.208594994650274683,1444934,4233,46539294.00,390871,27.05,0.80,0.05
17-January-2017,31.85,32.10,31.20,31.80,31.536460853290409982,1271103,3731,40086090.00,451540,35.52,0.90,-0.05
16-January-2017,31.40,32.30,31.05,31.60,31.630878907158836129,1998607,6457,63217696.00,595341,29.79,1.25,0.20
13-January-2017,32.60,32.70,31.05,31.40,31.783437238477327372,2296646,7995,72995304.00,786298,34.24,1.65,-1.20
12-January-2017,33.10,33.25,32.35,32.50,32.757098762041807177,1820740,5189,59642160.00,603802,33.16,0.90,-0.60
11-January-2017,33.20,33.40,32.80,33.05,33.063739534619041559,1265243,3992,41833665.00,321120,25.38,0.60,-0.15
10-January-2017,33.40,33.55,32.80,33.10,33.220883990363432325,1232389,4075,40941052.00,389701,31.62,0.75,-0.30
9-January-2017,34.00,34.00,33.05,33.15,33.348705542302793504,1451689,4343,48411949.00,519088,35.76,0.95,-0.85
6-January-2017,34.25,34.35,33.65,33.80,33.926287733978149385,1646361,4432,55854917.00,551664,33.51,0.70,-0.45
5-January-2017,34.50,34.80,34.40,34.60,34.593863392600094682,1455397,4691,50347805.00,666795,45.82,0.40,0.10
4-January-2017,34.25,34.60,33.85,34.30,34.237947990814136133,1014167,2309,34722997.00,245734,24.23,0.75,0.05
3-January-2017,34.80,34.90,34.05,34.25,34.487874134454826988,819859,2363,28275194.00,288624,35.20,0.85,-0.55
2-January-2017,34.10,35.05,33.85,34.75,34.451540763261730062,956474,2356,32952003.00,238178,24.90,1.20,0.65
